review_id,true_domain,review,dominant_topic,topic_top_words
146,clothing,"Love the design, gets compliments every time I wear it.",4,"website, color, actual, misleading, different"
130,streaming,Streaming quality kept buffering even with a strong internet connection. Season two feels like a step down from the excellent first season.,3,"season, feels, plot, quality, conclusion"
58,restaurant,"The kitchen clearly cares about presentation, every plate looked like art. The dessert menu is fantastic, the chocolate lava cake was heavenly.",1,"room, great, beautiful, set, elegant"
164,clothing,"Stitching came undone at the seams after only a few wears. Love the design, gets compliments every time I wear it.",4,"website, color, actual, misleading, different"
142,clothing,Stitching came undone at the seams after only a few wears.,0,"stitching, fabric, use, seams, wears"
140,streaming,"The plot twist in the finale completely caught me off guard, brilliant writing. Cinematography is gorgeous, every scene looks like a painting.",3,"season, feels, plot, quality, conclusion"
70,restaurant,"Restaurant was extremely noisy, hard to have a conversation at our table. The steak was overcooked and quite tough, definitely not worth the price.",2,"table, hard, conversation, noisy, restaurant"
42,restaurant,Prices have gone up significantly but the quality has not improved.,3,"season, feels, plot, quality, conclusion"
106,streaming,"The humor lands perfectly, laughed out loud multiple times.",3,"season, feels, plot, quality, conclusion"
133,streaming,App interface is clean and recommendations are actually relevant to my taste. The chemistry between the two leads makes the romance believable.,1,"room, great, beautiful, set, elegant"
158,clothing,"Perfect fit right out of the box, exactly as described on the site. Photos on the website are misleading, actual color looks very different.",4,"website, color, actual, misleading, different"
46,restaurant,"Service was painfully slow, we waited over forty minutes just for appetizers.",1,"room, great, beautiful, set, elegant"
35,electronics,"The processor handles multitasking effortlessly, apps open instantly. Camera quality in low light is disappointing, photos come out grainy and blurry.",3,"season, feels, plot, quality, conclusion"
97,hotel,"Housekeeping did a fantastic job, room was tidy every single day. The concierge helped us book tours and was incredibly knowledgeable.",1,"room, great, beautiful, set, elegant"
29,electronics,"Fast charging is a game changer, went from 10% to 80% in under thirty minutes. Camera quality in low light is disappointing, photos come out grainy and blurry.",3,"season, feels, plot, quality, conclusion"
156,clothing,True to size and the fabric breathes well even in warm weather. Great quality denim that only gets better with every wash.,0,"stitching, fabric, use, seams, wears"
37,restaurant,Vegetarian options were limited and mostly just salads.,0,"stitching, fabric, use, seams, wears"
48,restaurant,Our waiter was attentive and made great recommendations from the menu.,1,"room, great, beautiful, set, elegant"
144,clothing,"Buttons started falling off after minimal use, poor quality control.",0,"stitching, fabric, use, seams, wears"
113,streaming,Special effects looked cheap compared to other shows in the genre.,3,"season, feels, plot, quality, conclusion"
45,restaurant,Portions were generous and the flavors were bold and well balanced.,2,"table, hard, conversation, noisy, restaurant"
84,hotel,"Wifi kept cutting out constantly, made it impossible to work remotely.",4,"website, color, actual, misleading, different"
89,hotel,Check-out process was quick and the final bill matched what we expected.,1,"room, great, beautiful, set, elegant"
121,streaming,"Binge-watched the whole season in one weekend, absolutely addictive story.",3,"season, feels, plot, quality, conclusion"
170,clothing,"Shipping was fast and the packaging kept everything wrinkle free. Photos on the website are misleading, actual color looks very different.",4,"website, color, actual, misleading, different"
69,restaurant,"Staff were friendly and checked on us regularly throughout the meal. The steak was overcooked and quite tough, definitely not worth the price.",2,"table, hard, conversation, noisy, restaurant"
79,hotel,Beautiful lobby with elegant decor that set a great first impression.,1,"room, great, beautiful, set, elegant"
154,clothing,The zipper broke within the first week of light use.,0,"stitching, fabric, use, seams, wears"
94,hotel,"Beautiful lobby with elegant decor that set a great first impression. Housekeeping did a fantastic job, room was tidy every single day.",1,"room, great, beautiful, set, elegant"
81,hotel,The air conditioning was broken and maintenance never showed up.,4,"website, color, actual, misleading, different"
2,electronics,"Build quality feels premium, the aluminum body is sturdy and looks great.",3,"season, feels, plot, quality, conclusion"
10,electronics,"The processor handles multitasking effortlessly, apps open instantly.",3,"season, feels, plot, quality, conclusion"
88,hotel,"Mini fridge in the room wasn't cooling properly, drinks stayed warm.",1,"room, great, beautiful, set, elegant"
59,restaurant,"Ambiance is cozy and romantic, perfect for a date night dinner. Staff were friendly and checked on us regularly throughout the meal.",2,"table, hard, conversation, noisy, restaurant"
39,restaurant,"Restaurant was extremely noisy, hard to have a conversation at our table.",2,"table, hard, conversation, noisy, restaurant"
83,hotel,"Location is perfect, walking distance to all the major attractions.",1,"room, great, beautiful, set, elegant"
17,electronics,"Storage fills up quickly, wish it came with more internal memory options.",0,"stitching, fabric, use, seams, wears"
51,restaurant,"Portion sizes were tiny for the price, left the table still hungry.",2,"table, hard, conversation, noisy, restaurant"
91,hotel,Elevator was out of service for our entire three night stay. Amazing view of the city skyline right from our balcony window.,1,"room, great, beautiful, set, elegant"
107,streaming,"Cinematography is gorgeous, every scene looks like a painting.",4,"website, color, actual, misleading, different"
92,hotel,Spa services were relaxing and the staff were true professionals. Staff went above and beyond to accommodate our late arrival.,2,"table, hard, conversation, noisy, restaurant"
86,hotel,Elevator was out of service for our entire three night stay.,1,"room, great, beautiful, set, elegant"
27,electronics,"The display has beautiful colors and the refresh rate makes scrolling super smooth. The laptop overheats badly after an hour of gaming, fan noise is very loud.",1,"room, great, beautiful, set, elegant"
34,electronics,"Keyboard feels mushy and the trackpad is not very responsive. Fast charging is a game changer, went from 10% to 80% in under thirty minutes.",3,"season, feels, plot, quality, conclusion"
126,streaming,The soundtrack perfectly matches the mood of every scene. Too many ads interrupted the movie even with a paid subscription.,3,"season, feels, plot, quality, conclusion"
67,restaurant,"The reservation system is a mess, we had a booking but still had to wait. Food arrived cold and had to be sent back to the kitchen twice.",2,"table, hard, conversation, noisy, restaurant"
104,hotel,"Beautiful lobby with elegant decor that set a great first impression. Location is perfect, walking distance to all the major attractions.",1,"room, great, beautiful, set, elegant"
102,hotel,Room smelled musty and the carpet looked like it hadn't been vacuumed in weeks. Beautiful lobby with elegant decor that set a great first impression.,1,"room, great, beautiful, set, elegant"
85,hotel,Room service arrived quickly and the food was surprisingly good for a hotel.,2,"table, hard, conversation, noisy, restaurant"
54,restaurant,Fresh ingredients really shine through in every dish we ordered.,1,"room, great, beautiful, set, elegant"
157,clothing,"Great quality denim that only gets better with every wash. Love the design, gets compliments every time I wear it.",4,"website, color, actual, misleading, different"
80,hotel,Amazing view of the city skyline right from our balcony window.,4,"website, color, actual, misleading, different"
6,electronics,Packaging was damaged on arrival and the charger was missing from the box.,4,"website, color, actual, misleading, different"
160,clothing,"Stitching came undone at the seams after only a few wears. Perfect fit right out of the box, exactly as described on the site.",0,"stitching, fabric, use, seams, wears"
123,streaming,The chemistry between the two leads makes the romance believable.,1,"room, great, beautiful, set, elegant"
32,electronics,The warranty process was smooth and they replaced my unit within a week. The display has beautiful colors and the refresh rate makes scrolling super smooth.,1,"room, great, beautiful, set, elegant"
73,hotel,Parking was a nightmare and they charged an outrageous daily fee.,0,"stitching, fabric, use, seams, wears"
128,streaming,"Lead actor delivered a powerful, award-worthy performance. The chemistry between the two leads makes the romance believable.",1,"room, great, beautiful, set, elegant"
52,restaurant,Food arrived cold and had to be sent back to the kitchen twice.,2,"table, hard, conversation, noisy, restaurant"
31,electronics,Speakers are surprisingly loud and clear for such a compact device. The warranty process was smooth and they replaced my unit within a week.,1,"room, great, beautiful, set, elegant"
87,hotel,"Housekeeping did a fantastic job, room was tidy every single day.",1,"room, great, beautiful, set, elegant"
111,streaming,"Lead actor delivered a powerful, award-worthy performance.",2,"table, hard, conversation, noisy, restaurant"
77,hotel,The room was spotless and the bed was one of the most comfortable I've slept in.,1,"room, great, beautiful, set, elegant"
9,electronics,"Bluetooth keeps disconnecting randomly, very frustrating during calls.",3,"season, feels, plot, quality, conclusion"
151,clothing,"Sizing runs small, had to return it for a size up.",0,"stitching, fabric, use, seams, wears"
135,streaming,The ending left too many plot threads unresolved for a satisfying conclusion. Video quality drops to standard definition randomly during playback.,3,"season, feels, plot, quality, conclusion"
11,electronics,Keyboard feels mushy and the trackpad is not very responsive.,3,"season, feels, plot, quality, conclusion"
66,restaurant,Food arrived cold and had to be sent back to the kitchen twice. Table was sticky and the silverware looked like it hadn't been cleaned.,2,"table, hard, conversation, noisy, restaurant"
134,streaming,"App interface is clean and recommendations are actually relevant to my taste. Pacing was way too slow in the middle episodes, almost gave up watching.",3,"season, feels, plot, quality, conclusion"
21,electronics,"Keyboard feels mushy and the trackpad is not very responsive. Bluetooth keeps disconnecting randomly, very frustrating during calls.",3,"season, feels, plot, quality, conclusion"
166,clothing,Fabric feels premium and the stitching is very well done for the price. The zipper broke within the first week of light use.,0,"stitching, fabric, use, seams, wears"
110,streaming,Subtitles were out of sync for most of the second half of the movie.,3,"season, feels, plot, quality, conclusion"
118,streaming,Acting felt wooden and the dialogue was cringeworthy throughout.,3,"season, feels, plot, quality, conclusion"
65,restaurant,"Restaurant was extremely noisy, hard to have a conversation at our table. Portion sizes were tiny for the price, left the table still hungry.",2,"table, hard, conversation, noisy, restaurant"
62,restaurant,"The reservation system is a mess, we had a booking but still had to wait. Service was painfully slow, we waited over forty minutes just for appetizers.",2,"table, hard, conversation, noisy, restaurant"
75,hotel,Thin walls meant we could hear everything from the room next door.,1,"room, great, beautiful, set, elegant"
7,electronics,"Great value for money, performance rivals phones twice the price.",2,"table, hard, conversation, noisy, restaurant"
8,electronics,Wireless charging works flawlessly with my existing charging pad.,3,"season, feels, plot, quality, conclusion"
41,restaurant,Table was sticky and the silverware looked like it hadn't been cleaned.,2,"table, hard, conversation, noisy, restaurant"
96,hotel,The air conditioning was broken and maintenance never showed up. Check-out process was quick and the final bill matched what we expected.,4,"website, color, actual, misleading, different"
143,clothing,Great quality denim that only gets better with every wash.,4,"website, color, actual, misleading, different"
15,electronics,"Camera quality in low light is disappointing, photos come out grainy and blurry.",3,"season, feels, plot, quality, conclusion"
56,restaurant,"Food arrived cold and had to be sent back to the kitchen twice. Restaurant was extremely noisy, hard to have a conversation at our table.",2,"table, hard, conversation, noisy, restaurant"
76,hotel,Spa services were relaxing and the staff were true professionals.,0,"stitching, fabric, use, seams, wears"
167,clothing,"The zipper broke within the first week of light use. Buttons started falling off after minimal use, poor quality control.",0,"stitching, fabric, use, seams, wears"
40,restaurant,"The dessert menu is fantastic, the chocolate lava cake was heavenly.",1,"room, great, beautiful, set, elegant"
147,clothing,Material is scratchy and uncomfortable against the skin.,0,"stitching, fabric, use, seams, wears"
163,clothing,Shipping was fast and the packaging kept everything wrinkle free. Stitching came undone at the seams after only a few wears.,0,"stitching, fabric, use, seams, wears"
74,hotel,Front desk staff were rude and check-in took nearly an hour.,2,"table, hard, conversation, noisy, restaurant"
117,streaming,Video quality drops to standard definition randomly during playback.,3,"season, feels, plot, quality, conclusion"
68,restaurant,Prices have gone up significantly but the quality has not improved. Portions were generous and the flavors were bold and well balanced.,2,"table, hard, conversation, noisy, restaurant"
100,hotel,Room service arrived quickly and the food was surprisingly good for a hotel. The room was spotless and the bed was one of the most comfortable I've slept in.,1,"room, great, beautiful, set, elegant"
1,electronics,The warranty process was smooth and they replaced my unit within a week.,0,"stitching, fabric, use, seams, wears"
98,hotel,"The air conditioning was broken and maintenance never showed up. Wifi kept cutting out constantly, made it impossible to work remotely.",4,"website, color, actual, misleading, different"
149,clothing,Shipping was fast and the packaging kept everything wrinkle free.,4,"website, color, actual, misleading, different"
16,electronics,"The webcam quality is poor, video calls look pixelated and dark.",3,"season, feels, plot, quality, conclusion"
103,hotel,"The air conditioning was broken and maintenance never showed up. Wifi kept cutting out constantly, made it impossible to work remotely.",4,"website, color, actual, misleading, different"
55,restaurant,"The kitchen clearly cares about presentation, every plate looked like art.",1,"room, great, beautiful, set, elegant"
124,streaming,Season two feels like a step down from the excellent first season.,3,"season, feels, plot, quality, conclusion"
125,streaming,"Character development felt rushed, motivations didn't make sense.",3,"season, feels, plot, quality, conclusion"
105,hotel,Breakfast buffet had a great variety and everything was fresh. Thin walls meant we could hear everything from the room next door.,1,"room, great, beautiful, set, elegant"
43,restaurant,Cocktails were creative and beautifully presented by the bartender.,3,"season, feels, plot, quality, conclusion"
61,restaurant,"The kitchen clearly cares about presentation, every plate looked like art. The dessert menu is fantastic, the chocolate lava cake was heavenly.",1,"room, great, beautiful, set, elegant"
24,electronics,Wireless charging works flawlessly with my existing charging pad. The display has beautiful colors and the refresh rate makes scrolling super smooth.,1,"room, great, beautiful, set, elegant"
4,electronics,"The laptop overheats badly after an hour of gaming, fan noise is very loud.",1,"room, great, beautiful, set, elegant"
139,streaming,Documentary presented complex topics in a clear and engaging way. The ending left too many plot threads unresolved for a satisfying conclusion.,3,"season, feels, plot, quality, conclusion"
13,electronics,Screen resolution is stunning but the battery drains way too fast for daily use.,0,"stitching, fabric, use, seams, wears"
26,electronics,Packaging was damaged on arrival and the charger was missing from the box. Software updates have made the device noticeably slower than when I bought it.,4,"website, color, actual, misleading, different"
141,clothing,Return process was a hassle and customer service was slow to respond.,1,"room, great, beautiful, set, elegant"
114,streaming,Storyline felt like a copy of other popular shows with nothing original.,3,"season, feels, plot, quality, conclusion"
20,electronics,"Fast charging is a game changer, went from 10% to 80% in under thirty minutes.",3,"season, feels, plot, quality, conclusion"
169,clothing,Stitching came undone at the seams after only a few wears. True to size and the fabric breathes well even in warm weather.,0,"stitching, fabric, use, seams, wears"
119,streaming,Documentary presented complex topics in a clear and engaging way.,3,"season, feels, plot, quality, conclusion"
72,hotel,Breakfast buffet had a great variety and everything was fresh.,1,"room, great, beautiful, set, elegant"
47,restaurant,"The steak was overcooked and quite tough, definitely not worth the price.",2,"table, hard, conversation, noisy, restaurant"
109,streaming,App interface is clean and recommendations are actually relevant to my taste.,1,"room, great, beautiful, set, elegant"
36,restaurant,Staff were friendly and checked on us regularly throughout the meal.,2,"table, hard, conversation, noisy, restaurant"
115,streaming,"Pacing was way too slow in the middle episodes, almost gave up watching.",3,"season, feels, plot, quality, conclusion"
138,streaming,Season two feels like a step down from the excellent first season. The ending left too many plot threads unresolved for a satisfying conclusion.,3,"season, feels, plot, quality, conclusion"
49,restaurant,"The reservation system is a mess, we had a booking but still had to wait.",2,"table, hard, conversation, noisy, restaurant"
50,restaurant,"The pasta was cooked perfectly and the sauce had a rich, homemade flavor.",3,"season, feels, plot, quality, conclusion"
64,restaurant,"The reservation system is a mess, we had a booking but still had to wait. Portions were generous and the flavors were bold and well balanced.",2,"table, hard, conversation, noisy, restaurant"
28,electronics,"Bluetooth keeps disconnecting randomly, very frustrating during calls. Software updates have made the device noticeably slower than when I bought it.",3,"season, feels, plot, quality, conclusion"
